,x,y
scam rap,5315,1053
norwegian psychedelic,9142,289
african metal,5164,273
mexican metal,6501,286
polish hardcore,6770,304
reggaeton chileno,2338,1088
black sludge,8822,171
indonesian indie rock,4512,317
rock gospel brasileiro,5985,401
progressive power metal,4563,273
brazilian stoner rock,7312,300
classic moroccan pop,10470,842
roots americana,8920,673
folclore navarra,14618,819
italian baritone,16663,409
dweilorkest,11307,908
mindfulness,14272,113
latvian metal,4119,238
portuguese death metal,5507,208
nz punk,6921,308
swiss country,6660,677
trap catala,6037,1046
country quebecois,9118,664
welsh choir,16493,204
boogie-woogie,14448,1046
tamil worship,12593,760
murga,11840,908
punta,5353,1042
italogaze,5581,206
musique guadeloupe,3757,1033
trallalero,16288,503
cumbia ecuatoriana,8626,1066
boogaloo,11298,1047
finnish alternative rock,3906,359
mento,11717,1150
bandinhas,4158,940
kritika,13127,627
slovak metal,5593,247
cameroonian pop,7927,1005
zouk,2244,999
trap cristiano,5658,1033
rock paraense,5251,376
new jersey hardcore,8983,317
mbalax,9080,993
progressive groove metal,6427,271
glitch,7829,656
symphonic black metal,7015,115
voidgaze,8235,62
brazilian death metal,8810,185
technical melodic death metal,5884,220
rominimal,44,1500
scottish metal,4600,217
italian gothic metal,4782,206
canadian pop punk,3304,282
italian power metal,4216,233
canadian stoner rock,8600,197
vogue,1696,1134
uk dance,1533,990
rap rock,3602,529
kirtan,11260,471
classical bassoon,16114,425
koto,16606,957
ambient pop,10412,389
rebel blues,3835,567
throat singing,12532,457
miami indie,5665,496
chilean rock,7804,721
trekkspill,10754,684
leon gto indie,5114,601
shanty,12655,888
traditional irish singing,15870,945
nu jazz,3174,1012
power electronics,9302,204
scream rap,4247,819
transpop,6243,728
hardcore techno,1557,751
blaskapelle,13831,825
musicas espiritas,12830,516
cologne electronic,1975,1089
cuban electronic,1632,961
kids dance party,8577,991
australian ska,6136,726
latvian pop,6428,746
belgian new wave,2775,753
makina,1160,1018
british soundtrack,12179,275
rock alagoano,5266,553
basque folk,11853,808
tabla,11365,1005
russian post-punk,6354,574
video game music,9377,289
noise punk,9058,332
indonesian edm,2599,827
rock drums,7192,673
balalaika,13809,707
austrian dnb,1583,947
dutch dnb,1620,947
geek rock,7306,853
modern performance,14933,376
thai instrumental,12914,713
faroese jazz,12446,673
galician jazz,12605,677
calypso,13730,819
grunge brasileiro,4427,455
ukrainian electronic,878,1138
metal guitar,6010,391
colombian rock,4779,772
american contemporary classical,15782,409
american primitive,13281,627
oriental classical,15712,353
afghan traditional,14560,522
thai folk pop,7455,702
perreo,3876,1173
reggaeton flow,3065,1161
baton rouge rap,3704,1113
reggaeton colombiano,2819,1125
italian post-rock,9130,201
bakersfield sound,10690,847
rap kreyol,6868,1075
dangdut koplo,4920,803
diy emo,6625,360
men's choir,16383,197
norwegian choir,15659,195
african reggae,4858,1122
rock brasiliense,6108,423
cumbia chilena,5645,926
south asian metal,5665,291
deep rai,4641,836
charred death,6648,150
kayokyoku,11050,563
garifuna folk,8211,938
mande pop,9351,951
rai,6160,825
kashmiri pop,11976,668
southern americana,10155,533
brazilian tech house,289,1414
indonesian shoegaze,4894,238
trap carioca,5832,1113
rap montrealais,5962,1066
post-doom metal,8661,155
country road,5176,584
rap maroc,6240,1051
vancouver punk,6934,310
rwandan hip hop,7977,1049
central american metal,6526,293
deep comedy,14778,1073
italian soprano,16639,357
corrido,9025,1077
metalcore espanol,4297,278
progressive black metal,7191,129
finnish metal,3810,217
russian power metal,3391,278
nu disco,1173,1102
popwave,2147,596
hmong pop,4145,867
nottingham indie,9575,471
belgian indie rock,6279,439
avant-rock,10204,459
portuguese indie rock,5973,505
modern downshift,3747,427
chillstep,3788,581
irish gaelic folk,15153,603
leipzig electronic,1101,1258
french techno,595,1235
mallet,13457,876
classic nepali pop,11062,411
indie nica,5551,836
rock potiguar,7007,514
abstract hip hop,6173,898
brass band,11705,758
euskal rock,8787,650
icelandic classical,14426,300
deep acoustic pop,6798,603
accordion,10678,916
minimal dubstep,2000,1018
japanese electropop,2114,713
modern electroacoustic,12261,286
edm,1806,803
cello,12090,384
vintage swedish pop,13645,819
renaissance,16480,267
american 21st century classical,15688,336
torch song,15241,772
classic tunisian pop,11865,511
rock nica,2998,827
british industrial,7094,598
techno argentina,533,1232
old west,10770,896
greek folk,12642,751
covertrance,1828,842
colombian indie,6219,690
emocore,8004,397
musiikkia lapsille,10445,898
tekno,1079,970
rock in opposition,11346,494
irish experimental,11650,378
belgian modern jazz,12162,741
taiwan instrumental,13149,437
disney italiano,13127,696
cabaret,15946,851
contemporary classical,16038,347
spacewave,2136,522
korean city pop,4823,840
glitchcore,4084,767
belgian edm,1696,936
venezuelan rock,6625,767
portuguese early music,16090,308
folk siciliana,10197,786
barnalog,10726,1029
free folk,13139,351
tanzlmusi,14668,1073
mexican edm,1596,1073
basel indie,6120,484
pinoy reggae,6908,834
k-rock,5214,511
dutch contemporary classical,15700,391
tongan pop,10180,865
disney portugues brasil,9403,760
russian folk,15043,589
celtic,12349,608
swiss house,188,1390
canadian shoegaze,6758,187
cumbia funk,8949,1027
highlife,8824,1038
icelandic metal,7251,192
swedish rockabilly,7580,638
pakistani folk,11742,783
makossa,6994,965
uk stoner rock,8944,233
son cubano clasico,12994,1057
brazilian grindcore,8747,167
cuarteto,4804,859
boy soprano,16651,280
german stoner rock,9277,275
russian post-rock,7100,265
rajasthani pop,5762,857
nisiotika,12086,635
country dawn,8564,591
deep contemporary country,7753,664
austrian metal,5053,226
flamenco urbano,5137,1046
rap toscana,6416,1007
progressive bluegrass,11815,781
skate punk,6132,341
modern country rock,4449,547
spanish metal,4696,328
folklore boliviano,9812,916
environmental,12620,79
punjabi folk,12325,953
samba gospel,8000,763
uk post-hardcore,5370,264
classical tenor,16419,282
huayno,10898,976
brega funk,3502,1307
soca,6252,1082
diy pop punk,5140,341
deep power-pop punk,6304,334
gumbe,6955,1044
west african jazz,10565,938
electronicore,3341,238
drone psych,11297,419
weightless,4388,857
brazilian experimental,8491,627
experimental club,3903,878
tibetan mantra,12495,644
ambient dub techno,2062,1051
dusseldorf electronic,1806,1141
dark ambient,10155,271
salsa colombiana,7019,1131
german thrash metal,5796,233
reading,12113,1358
danish metal,5115,201
instrumental black metal,7460,54
brutal death metal,8174,180
chinese post-punk,5998,372
ceilidh,10144,736
euroska,5142,932
canadian post-punk,5896,351
deep liquid,1049,1031
swedish tropical house,1963,890
lds,13459,441
neo-pagan,11828,619
yiddish folk,14999,936
comedy,13779,980
british contemporary classical,15950,308
lao traditional,15065,844
minneapolis sound,2643,1029
turntablism,3989,1086
funana,2944,1106
powerviolence,8223,229
indie psych-pop,7905,459
monterrey indie,3964,560
tropical house,1857,888
cdmx indie,5151,535
middle eastern traditional,14404,758
british brass band,16056,374
german indie,5732,673
dutch edm,1398,874
sky room,1658,741
tahitian,8502,910
french orchestra,15761,341
german house,890,1259
romantico,11056,821
healing,11981,284
musica rapa nui,10106,772
experimental bass,3370,993
panpipe,9946,567
jungle,1322,1016
marimba,15813,882
brighton indie,6354,461
prank,14756,1230
new weird america,12398,457
classical horn,16407,409
burmese traditional,15395,892
kingston on indie,7941,520
lo star,7143,584
country boogie,13413,1051
canzone genovese,13151,629
sound art,11893,293
intelligent dance music,4475,781
japanese traditional,14394,591
russian techno,743,1308
mexican techno,768,1201
bahai,5188,1027
